"vignette_id";"upbringing_level";"upbringing_text";"reflection_level";"reflection_text";"adulthood_level";"adulthood_text";"action_level";"action_text";"topic";"combined_text";"qualtrics_id";"action_type";"action_age"
"racism_bad_yes_perpetrator_offense_25";"bad";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"perpetrator";"Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.";"offense_25";"At the age of 25, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.<br>At the age of 25, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism.11";"offense";"25"
"racism_bad_yes_perpetrator_offense_35";"bad";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"perpetrator";"Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.";"offense_35";"At the age of 35, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.<br>At the age of 35, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism.12";"offense";"35"
"racism_good_yes_activist_help_18";"good";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"activist";"Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.";"help_18";"At the age of 18, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.<br>At the age of 18, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism.13";"help";"18"
"racism_good_yes_activist_help_25";"good";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"activist";"Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.";"help_25";"At the age of 25, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.<br>At the age of 25, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism.14";"help";"25"
"racism_good_yes_activist_help_35";"good";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"activist";"Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.";"help_35";"At the age of 35, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.<br>At the age of 35, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism.15";"help";"35"
"racism_good_yes_activist_offense_18";"good";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"activist";"Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.";"offense_18";"At the age of 18, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.<br>At the age of 18, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism.16";"offense";"18"
"racism_good_yes_activist_offense_25";"good";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"activist";"Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.";"offense_25";"At the age of 25, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.<br>At the age of 25, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism.17";"offense";"25"
"racism_good_yes_activist_offense_35";"good";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"activist";"Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.";"offense_35";"At the age of 35, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.<br>At the age of 35, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism.18";"offense";"35"
"racism_good_yes_perpetrator_help_18";"good";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"perpetrator";"Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.";"help_18";"At the age of 18, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.<br>At the age of 18, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism.19";"help";"18"
"racism_good_yes_perpetrator_help_25";"good";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"perpetrator";"Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.";"help_25";"At the age of 25, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.<br>At the age of 25, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism.20";"help";"25"
"racism_good_yes_perpetrator_help_35";"good";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"perpetrator";"Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.";"help_35";"At the age of 35, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.<br>At the age of 35, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism.21";"help";"35"
"racism_good_yes_perpetrator_offense_18";"good";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"perpetrator";"Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.";"offense_18";"At the age of 18, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.<br>At the age of 18, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism.22";"offense";"18"
"racism_good_yes_perpetrator_offense_25";"good";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"perpetrator";"Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.";"offense_25";"At the age of 25, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.<br>At the age of 25, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism.23";"offense";"25"
"racism_good_yes_perpetrator_offense_35";"good";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"perpetrator";"Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.";"offense_35";"At the age of 35, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all people were equal and had a right to be treated with dignity and respect.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.<br>At the age of 35, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism.24";"offense";"35"
